iter	Logloss
0	0.6721635177
1	0.6536813175
2	0.6365607443
3	0.621008281
4	0.6034654296
5	0.5877780836
6	0.5706578919
7	0.5571631111
8	0.5423816723
9	0.5269618502
10	0.5173573338
11	0.504521622
12	0.4960940094
13	0.4831127036
14	0.4762723172
15	0.4675170085
16	0.4580878324
17	0.4491303011
18	0.4403505504
19	0.4313826097
20	0.4227638586
21	0.4138989363
22	0.4067609282
23	0.4021310201
24	0.3961821662
25	0.3913006168
26	0.386156433
27	0.3817950928
28	0.3742175355
29	0.368602312
30	0.3652891271
31	0.3611511502
32	0.3548701707
33	0.3498635818
34	0.3464850918
35	0.3424650355
36	0.3391984509
37	0.3337913305
38	0.3292578681
39	0.3256436341
40	0.3236295854
41	0.3197796409
42	0.3165337121
43	0.313872089
44	0.3110536838
45	0.3077183799
46	0.3059991636
47	0.3032801977
48	0.3009637419
49	0.297950146
50	0.2960369875
51	0.293109648
52	0.290794363
53	0.2888374034
54	0.2865348863
55	0.2835187699
56	0.2811427309
57	0.2795231517
58	0.2779183993
59	0.2762461892
60	0.2737391225
61	0.2713991618
62	0.2681162945
63	0.2655627846
64	0.2642193231
65	0.2623723839
66	0.2606630291
67	0.2593720018
68	0.2570571641
69	0.2560284023
70	0.2532365245
71	0.2520349947
72	0.250204176
73	0.2483768751
74	0.2469081653
75	0.2447888639
76	0.2432316487
77	0.2419206159
78	0.240937273
79	0.2403394367
80	0.2395716949
81	0.2384639246
82	0.2370961378
83	0.2356943522
84	0.2338883493
85	0.2322379081
86	0.2313155307
87	0.2306262535
88	0.229883538
89	0.2287763069
90	0.2270776274
91	0.2259018401
92	0.2240620991
93	0.2229503719
94	0.2224162067
95	0.2215355216
96	0.2207585258
97	0.219859808
98	0.2185257847
99	0.2171236474
100	0.2158669657
101	0.214878663
102	0.2141104623
103	0.2133697286
104	0.2127639963
105	0.212348935
106	0.211402839
107	0.2106909586
108	0.2102009445
109	0.2094730676
110	0.2088679036
111	0.2084845382
112	0.2076185222
113	0.2070577711
114	0.206525736
115	0.2055022148
116	0.204691151
117	0.2033852741
118	0.2028880567
119	0.202020318
