iter	Passed	Remaining
521	2391	2189
522	2395	2184
523	2399	2179
524	2403	2174
525	2407	2169
526	2411	2164
527	2416	2159
528	2420	2154
529	2424	2149
530	2428	2144
531	2432	2139
532	2436	2135
533	2441	2130
534	2445	2125
535	2449	2120
536	2453	2115
537	2457	2110
538	2461	2105
539	2465	2100
540	2470	2095
541	2474	2090
542	2478	2085
543	2482	2080
544	2486	2075
545	2490	2070
546	2494	2065
547	2498	2060
548	2502	2056
549	2506	2051
550	2510	2046
551	2514	2041
552	2518	2036
553	2523	2031
554	2527	2026
555	2531	2021
556	2536	2017
557	2540	2012
558	2544	2007
559	2549	2002
560	2553	1997
561	2557	1993
562	2561	1988
563	2565	1983
564	2569	1978
565	2573	1973
566	2577	1968
567	2582	1963
568	2586	1958
569	2591	1954
570	2595	1950
571	2600	1945
572	2605	1941
573	2609	1936
574	2613	1931
575	2618	1927
576	2622	1922
577	2626	1917
578	2630	1912
579	2634	1907
580	2639	1903
581	2643	1898
582	2647	1893
583	2651	1888
584	2655	1884
585	2659	1879
586	2664	1874
587	2667	1869
588	2672	1864
589	2676	1859
590	2680	1854
591	2684	1850
592	2688	1845
593	2692	1840
594	2696	1835
595	2700	1830
596	2704	1825
597	2708	1820
598	2713	1816
599	2718	1812
600	2722	1807
601	2727	1803
602	2732	1798
603	2736	1794
604	2741	1789
605	2745	1785
606	2750	1780
607	2754	1775
608	2758	1771
609	2762	1766
610	2766	1761
611	2770	1756
612	2774	1751
613	2779	1747
614	2783	1742
615	2787	1737
616	2791	1732
617	2795	1728
618	2799	1723
619	2804	1718
620	2808	1713
621	2813	1709
622	2819	1706
623	2824	1701
624	2828	1697
625	2833	1693
626	2838	1688
627	2842	1683
628	2847	1679
629	2851	1674
630	2855	1669
631	2859	1665
632	2863	1660
633	2868	1655
634	2872	1650
635	2876	1646
636	2880	1641
637	2884	1636
638	2888	1632
639	2892	1627
640	2897	1622
641	2901	1617
642	2905	1613
643	2909	1608
644	2914	1603
645	2918	1599
646	2922	1594
647	2927	1590
648	2931	1585
649	2935	1580
650	2940	1576
651	2944	1571
652	2949	1567
653	2953	1562
654	2957	1557
655	2962	1553
656	2966	1548
657	2970	1543
658	2974	1539
659	2978	1534
660	2982	1529
661	2987	1525
662	2991	1520
663	2995	1515
664	2999	1510
665	3003	1506
666	3007	1501
667	3011	1496
668	3015	1492
669	3019	1487
670	3023	1482
671	3027	1477
672	3032	1473
673	3037	1468
674	3041	1464
675	3045	1459
676	3049	1455
677	3053	1450
678	3057	1445
679	3062	1441
680	3066	1436
681	3070	1431
682	3074	1427
683	3079	1422
684	3083	1417
685	3087	1413
686	3091	1408
687	3095	1403
688	3099	1398
689	3103	1394
690	3107	1389
691	3111	1384
692	3115	1380
693	3119	1375
694	3124	1371
695	3128	1366
696	3132	1361
697	3137	1357
698	3141	1352
699	3146	1348
700	3150	1343
701	3154	1339
702	3159	1334
703	3163	1330
704	3167	1325
705	3172	1320
706	3176	1316
707	3180	1311
708	3185	1307
709	3189	1302
710	3193	1297
711	3197	1293
712	3201	1288
713	3205	1283
714	3209	1279
715	3213	1274
716	3218	1270
717	3222	1265
718	3227	1261
719	3232	1257
720	3237	1252
721	3241	1248
722	3247	1244
723	3252	1239
724	3256	1235
725	3261	1230
726	3265	1226
727	3270	1221
728	3274	1217
729	3278	1212
730	3283	1208
731	3287	1203
732	3292	1199
733	3296	1194
734	3301	1190
735	3305	1185
736	3309	1181
737	3313	1176
738	3318	1171
739	3322	1167
740	3326	1162
741	3330	1158
742	3334	1153
743	3338	1148
744	3343	1144
745	3347	1139
746	3351	1135
747	3355	1130
748	3360	1126
749	3364	1121
750	3368	1117
751	3373	1112
752	3378	1108
753	3382	1103
754	3387	1099
755	3392	1094
756	3398	1090
757	3402	1086
758	3406	1081
759	3410	1077
760	3415	1072
761	3419	1068
762	3424	1063
763	3428	1059
764	3434	1054
765	3438	1050
766	3442	1045
767	3447	1041
768	3451	1036
769	3456	1032
770	3460	1027
771	3464	1023
772	3468	1018
773	3472	1013
774	3476	1009
775	3481	1004
776	3485	1000
777	3489	995
778	3493	991
779	3497	986
780	3501	981
781	3505	977
782	3510	972
783	3514	968
784	3518	963
785	3523	959
786	3532	955
787	3540	952
788	3546	948
789	3552	944
790	3560	940
791	3566	936
792	3571	932
793	3577	928
794	3582	923
795	3586	919
796	3591	914
797	3597	910
798	3605	907
799	3616	904
800	3621	899
801	3628	895
802	3633	891
803	3638	887
804	3643	882
805	3647	877
806	3653	873
807	3659	869
808	3664	865
809	3668	860
810	3673	856
811	3678	851
812	3682	847
813	3687	842
814	3692	838
815	3696	833
816	3701	829
817	3706	824
818	3710	820
819	3715	815
820	3720	811
821	3724	806
822	3728	801
823	3733	797
824	3738	792
825	3742	788
826	3747	783
827	3752	779
828	3757	775
829	3762	770
830	3766	766
831	3771	761
832	3775	756
833	3780	752
834	3784	747
835	3789	743
836	3794	739
837	3800	734
838	3804	730
839	3809	725
840	3814	721
841	3818	716
842	3823	712
843	3828	707
844	3832	703
845	3837	698
846	3842	694
847	3847	689
848	3851	685
849	3857	680
850	3862	676
851	3867	671
852	3871	667
853	3877	662
854	3882	658
855	3887	653
856	3891	649
857	3897	644
858	3903	640
859	3908	636
860	3914	631
861	3921	627
862	3926	623
863	3932	618
864	3938	614
865	3949	611
866	3955	606
867	3961	602
868	3966	597
869	3971	593
870	3976	589
871	3982	584
872	3986	579
873	3992	575
874	3997	571
875	4002	566
876	4009	562
877	4013	557
878	4019	553
879	4024	548
880	4028	544
881	4032	539
882	4037	535
883	4042	530
884	4046	525
885	4052	521
886	4059	517
887	4065	512
888	4072	508
889	4079	504
890	4084	499
891	4089	495
892	4095	490
893	4104	486
894	4112	482
895	4118	478
896	4124	473
897	4129	469
898	4135	464
899	4143	460
900	4152	456
901	4158	451
902	4165	447
903	4170	442
904	4176	438
905	4182	433
906	4188	429
907	4195	425
908	4201	420
909	4208	416
910	4214	411
911	4221	407
912	4228	402
913	4233	398
914	4240	393
915	4246	389
916	4251	384
917	4259	380
918	4267	376
919	4274	371
920	4281	367
921	4288	362
922	4293	358
923	4297	353
924	4305	349
925	4311	344
926	4317	340
927	4323	335
928	4328	330
929	4335	326
930	4339	321
931	4345	317
932	4353	312
933	4359	308
934	4367	303
935	4375	299
936	4380	294
937	4385	289
938	4392	285
939	4398	280
940	4404	276
941	4410	271
942	4414	266
943	4419	262
944	4426	257
945	4432	253
946	4439	248
947	4444	243
948	4451	239
949	4457	234
950	4463	229
951	4470	225
952	4475	220
953	4480	216
954	4486	211
955	4491	206
956	4496	202
957	4501	197
958	4505	192
959	4509	187
960	4514	183
961	4518	178
962	4522	173
963	4526	169
964	4531	164
965	4535	159
966	4539	154
967	4543	150
968	4547	145
969	4552	140
970	4556	136
971	4560	131
972	4565	126
973	4569	121
974	4573	117
975	4577	112
976	4581	107
977	4585	103
978	4590	98
979	4594	93
980	4598	89
981	4602	84
982	4606	79
983	4610	74
984	4614	70
985	4619	65
986	4623	60
987	4627	56
988	4632	51
989	4636	46
990	4640	42
991	4645	37
992	4649	32
993	4654	28
994	4659	23
995	4663	18
996	4668	14
997	4672	9
998	4676	4
999	4681	0
